Gm11832	ENSMUSG00000086103.1
Gm11753	ENSMUSG00000085548.1
Gm11709	ENSMUSG00000089753.9
Gm11703	ENSMUSG00000083394.2
Gm11646	ENSMUSG00000085033.1
Gm11604	ENSMUSG00000085897.2
Gm11585	ENSMUSG00000082045.4
Gm11576	ENSMUSG00000084400.1
Gm11539	ENSMUSG00000083337.1
Gm11537	ENSMUSG00000085242.1
Gm11223	ENSMUSG00000046341.5
Gm11172	ENSMUSG00000079740.1
Gm10974	ENSMUSG00000078677.1
Gm10804	ENSMUSG00000075025.10
Gm10801	ENSMUSG00000075015.3
Gm10800	ENSMUSG00000075014.1
Gm10704	ENSMUSG00000074479.3
Gm10651	ENSMUSG00000074243.4
Gm10553	ENSMUSG00000073631.1
Gm10322	ENSMUSG00000071280.1
Gm10222	ENSMUSG00000067736.2
Gm10160	ENSMUSG00000066378.3
Gm10155	ENSMUSG00000066180.5
Gm10110	ENSMUSG00000062093.4
Gm10073	ENSMUSG00000060019.5
Gm10064	ENSMUSG00000059352.5
